iter	RMSE
0	150.2262216
1	148.2890543
2	146.2692466
3	144.4229109
4	142.6849157
5	140.8792436
6	139.2622995
7	137.6228164
8	135.9124232
9	134.3971182
10	133.0177149
11	131.5986876
12	130.3903986
13	128.8451624
14	127.5451068
15	126.2894039
16	124.949918
17	123.8022292
18	122.8432348
19	121.7708287
20	120.5874191
21	119.2790752
22	118.2379674
23	117.1207746
24	116.1857382
25	115.1612921
26	114.1866627
27	113.3263983
28	112.5016554
29	111.7136847
30	111.0785708
31	110.0956487
32	109.0842169
33	108.2419991
34	107.4621075
35	106.7302834
36	105.9970287
37	105.2494803
38	104.6552909
39	104.0863349
40	103.5549493
41	102.9146654
42	102.3225536
43	101.638446
44	100.9271434
45	100.4077832
46	99.87885701
47	99.39261487
48	98.92420641
49	98.33735477
50	97.81347343
51	97.20894489
52	96.71849501
53	96.28181316
54	95.83746541
55	95.5355366
56	95.22813913
57	94.74734772
58	94.32100332
59	93.90176343
60	93.47051022
61	92.89282746
62	92.45852957
63	92.10778539
64	91.68600589
65	91.44121432
66	91.03729056
67	90.75604878
68	90.32244085
69	90.01790745
70	89.63776914
71	89.19761886
72	88.70965355
73	88.4764013
74	88.10729241
75	87.73945593
76	87.5522219
77	87.47368197
78	87.16589529
79	86.77805228
80	86.43641704
81	86.19428931
82	85.93035512
83	85.54004103
84	85.29875068
85	84.96176463
86	84.73999695
87	84.46774383
88	84.16557842
89	84.02956327
90	83.8322018
91	83.56229282
92	83.33614826
93	83.05179449
94	82.80273296
95	82.47523243
96	82.27805694
97	81.99670857
98	81.70390669
99	81.53549031
100	81.28607982
101	81.2251417
102	80.95927991
103	80.70720328
104	80.48280655
105	80.34645261
106	80.27151736
107	80.02557329
108	79.85598634
109	79.64519631
110	79.40349724
111	79.05806846
112	78.87312391
113	78.6354649
114	78.46776405
115	78.3246491
116	78.10090742
117	78.00449803
118	77.81887805
119	77.62078188
120	77.42006898
121	77.25491183
122	76.91376515
123	76.75439277
124	76.60935915
125	76.43106978
126	76.28465327
127	76.02815387
128	75.90128027
129	75.63025503
130	75.52682584
131	75.34101221
132	75.12220757
133	75.10263069
134	74.86870656
135	74.5203428
136	74.39771768
137	74.22058748
138	74.08978354
139	73.94186345
140	73.80755634
141	73.65952556
142	73.51480587
143	73.33339943
144	73.19305192
145	73.08012712
146	72.97801557
147	72.86909801
148	72.74264686
149	72.63183952
150	72.57290915
151	72.47971428
152	72.43030407
153	72.30499696
154	72.245661
155	72.11336907
156	71.87817262
157	71.84120232
158	71.77663237
159	71.48067968
160	71.31540797
161	71.06514127
162	70.87880718
163	70.6958294
164	70.52664789
165	70.4949093
166	70.30774986
167	70.22783571
168	70.05132063
169	69.94408171
170	69.85379635
171	69.7033746
172	69.54625116
173	69.39480414
174	69.25744497
175	68.97524631
176	68.78893281
177	68.59862631
178	68.501514
179	68.40920001
180	68.2304548
181	68.07099613
182	67.87944996
183	67.76061136
184	67.64832518
185	67.41735799
186	67.30922089
187	67.24023129
188	67.07795974
189	66.95828631
190	66.84998574
191	66.75824467
192	66.65788257
193	66.49968025
194	66.30145723
195	66.26621066
196	66.21203358
197	66.07781105
198	65.92096138
199	65.81872225
200	65.54882318
201	65.37863232
202	65.22759665
203	65.11710357
204	64.91152247
205	64.70201251
206	64.5891637
207	64.42322228
208	64.30820845
209	64.21972974
210	64.08739417
211	63.92165052
212	63.82731414
213	63.66621834
214	63.56982328
215	63.45178103
216	63.28859996
217	63.09573989
218	62.87090851
219	62.67322975
220	62.52812174
221	62.34079296
222	62.16585438
223	62.04114416
224	61.93515033
225	61.77915763
226	61.66158997
227	61.45507182
228	61.35647772
229	61.2757154
230	61.18398962
231	61.02968727
232	60.81230032
233	60.6794923
234	60.56757242
235	60.47849442
236	60.36958376
237	60.18617826
238	59.99690846
239	59.88312378
240	59.76428097
241	59.61314479
242	59.50112626
243	59.40187839
244	59.24810126
245	59.05297178
246	58.8884044
247	58.73276849
248	58.65929799
249	58.6012676
250	58.53212343
251	58.37283266
252	58.3318675
253	58.19981124
254	58.06192336
255	57.9772096
256	57.85692802
257	57.66554509
258	57.51016834
259	57.40864446
260	57.23708815
261	57.13536592
262	57.00439355
263	56.89112307
264	56.81752426
265	56.64409438
266	56.50825692
267	56.2911066
268	56.18592657
269	56.08868093
270	55.87591561
271	55.73774818
272	55.56879197
273	55.41418938
274	55.29092302
275	55.13070925
276	55.00588829
277	54.85130438
278	54.73280442
279	54.58529657
280	54.48859205
281	54.45702324
282	54.38413681
283	54.35835138
284	54.25610336
285	54.15108404
286	54.05430765
287	53.95069929
288	53.86964778
289	53.76792459
290	53.65336964
291	53.61200018
292	53.51218972
293	53.41546442
294	53.31117301
295	53.27286698
296	53.18762539
297	53.15167167
298	53.08374462
299	53.02597258
