Rank,Input,Model,MAE,RMSE,PCC,N_test
1,Comb1_land,CatBoost,59.02931576799897,87.98362081552462,0.7800271510087192,72
2,Comb1_land,Random Forest,63.8818480763321,91.44146498529257,0.7561618335064656,72
3,Comb1_land,LightGBM,63.40017716155478,92.02438909616316,0.7435620577073653,72
4,Comb1_land,XGBoost,65.5050386985143,93.62043671231535,0.7419724933704476,72
