station,latitude,longitude,MAE,RMSE,PCC
CL503,22.6012,89.5195,64.23101846115664,90.6956398766117,0.8646588440106695
CL504,22.8093,89.4145,67.03288948793161,95.79919269062347,0.6857089168148609
CL509,22.6887,89.3088,52.56954875892094,87.16844712988767,0.7985421495080417
CL510,22.8319,89.55,57.74096713764962,82.75347155228505,0.7791188613226782
CL515,22.585,89.3182,55.61517817114011,86.63136246421313,0.7373197430603868
CL517,22.79,89.59,56.98629259119489,84.21432530549725,0.7264513315305213
