station,latitude,longitude,MAE,RMSE,PCC
CL503,22.6012,89.5195,77.42402488375824,105.38880775975736,0.8149437402104154
CL504,22.8093,89.4145,75.8765344887366,101.1747635277474,0.627339432611399
CL509,22.6887,89.3088,58.72389584134998,90.48353762287864,0.7644686197510371
CL510,22.8319,89.55,60.16641598925764,82.18294263502874,0.7642736283803506
CL515,22.585,89.3182,53.832232519640854,82.51149516582743,0.76157970615846
CL517,22.79,89.59,57.26798473524929,84.12289855096847,0.7265807946052522
