station_id,latitude,longitude,MAE,RMSE,PCC
CL503,22.6012,89.5195,69.0810119787852,98.22806074953868,0.8245865017757096
CL504,22.8093,89.4145,73.63731598854065,97.16990250843443,0.6630030895148166
CL509,22.6887,89.3088,47.83999760150909,85.03072193185156,0.8023923758081152
CL510,22.8319,89.55,60.82888065973916,86.59604786495515,0.7223955024430893
CL515,22.585,89.3182,47.123097085952764,80.84182251253824,0.764918930897033
CL517,22.79,89.59,66.67663842837017,93.23633794501978,0.6663576598121056
