station_id,latitude,longitude,MAE,RMSE,PCC
CL503,22.6012,89.5195,63.769633939152136,91.37654443060399,0.8526523267278866
CL504,22.8093,89.4145,65.00991537054865,86.6313255381466,0.7643490828460391
CL509,22.6887,89.3088,47.61037921319843,82.49206719932913,0.8417650675494369
CL510,22.8319,89.55,53.262269341120486,68.4932968064043,0.8565966592388162
CL515,22.585,89.3182,51.920246197924655,89.13727481866016,0.7280510565069056
CL517,22.79,89.59,59.25848042695179,85.23605483661548,0.728797897154335
