combination,model,month,coverage_pct_inside_khulna,valid_pixels,min_mm,median_mm,mean_mm,max_mm
Comb1,XGBoost,1,70.71501662829368,11057,18.870105743408203,28.332260131835938,31.494901657104492,44.57978439331055
Comb1,XGBoost,2,70.71501662829368,11057,44.68519592285156,61.22455978393555,63.0174560546875,80.13256072998047
Comb1,XGBoost,3,70.71501662829368,11057,16.50055503845215,27.98722267150879,27.647010803222656,36.0316047668457
Comb1,XGBoost,4,70.71501662829368,11057,26.024253845214844,37.53969955444336,43.239540100097656,72.78528594970703
Comb1,XGBoost,5,70.71501662829368,11057,135.18917846679688,178.21450805664062,184.94664001464844,275.260498046875
Comb1,XGBoost,6,70.71501662829368,11057,152.8319854736328,175.95619201660156,187.029296875,233.15023803710938
Comb1,XGBoost,7,70.71501662829368,11057,70.50576782226562,188.54763793945312,173.18560791015625,252.8202362060547
Comb1,XGBoost,8,7.879253005883858,1232,182.88941955566406,198.9977264404297,204.72792053222656,253.73712158203125
Comb1,XGBoost,9,70.71501662829368,11057,172.84925842285156,234.54006958007812,244.07244873046875,327.4873352050781
Comb1,XGBoost,10,70.71501662829368,11057,129.00315856933594,176.0651397705078,177.33226013183594,219.06658935546875
Comb1,XGBoost,11,70.71501662829368,11057,8.137578964233398,8.429559707641602,11.766295433044434,29.92368507385254
Comb1,XGBoost,12,70.71501662829368,11057,8.137578964233398,8.429559707641602,9.294711112976074,28.031715393066406
Comb1_land,CatBoost,1,62.31772831926324,9744,11.477075576782227,26.893402099609375,27.93909454345703,50.717979431152344
Comb1_land,CatBoost,2,62.33691481197237,9747,20.4063663482666,44.13372039794922,43.791255950927734,65.86445617675781
Comb1_land,CatBoost,3,62.33691481197237,9747,16.153013229370117,39.46144104003906,46.92301940917969,158.46983337402344
Comb1_land,CatBoost,4,62.33691481197237,9747,22.601600646972656,49.6288948059082,59.68008041381836,168.84262084960938
Comb1_land,CatBoost,5,62.33691481197237,9747,146.22279357910156,234.877685546875,236.19821166992188,362.0047302246094
Comb1_land,CatBoost,6,20.273727295983626,3170,129.10855102539062,225.2928466796875,223.53076171875,321.8276062011719
Comb1_land,CatBoost,7,48.50345356868765,7584,96.42321014404297,219.04852294921875,217.88299560546875,352.4076843261719
Comb1_land,CatBoost,8,4.566385264773599,714,160.9846649169922,239.94679260253906,241.65664672851562,278.3320617675781
Comb1_land,CatBoost,9,61.77411102583781,9659,166.51820373535156,268.5942077636719,271.8349304199219,369.9043884277344
Comb1_land,CatBoost,10,62.279355333844975,9738,147.92572021484375,224.66357421875,229.93405151367188,294.3726806640625
Comb1_land,CatBoost,11,62.32412381683295,9745,4.422898769378662,30.093746185302734,27.519420623779297,55.124061584472656
Comb1_land,CatBoost,12,62.33691481197237,9747,2.482649326324463,25.46156883239746,22.8750057220459,38.02924346923828
Comb2,XGBoost,1,74.07265285239191,11582,23.148759841918945,27.44154930114746,27.57346534729004,31.98617935180664
Comb2,XGBoost,2,74.07265285239191,11582,43.28859329223633,44.67954635620117,55.738433837890625,102.41082763671875
Comb2,XGBoost,3,74.07265285239191,11582,19.02935791015625,22.88962745666504,23.66232681274414,26.36640167236328
Comb2,XGBoost,4,74.07265285239191,11582,20.62982177734375,30.71206283569336,34.36079406738281,50.0638427734375
Comb2,XGBoost,5,74.07265285239191,11582,132.32571411132812,180.6844940185547,179.82257080078125,299.67779541015625
Comb2,XGBoost,6,74.07265285239191,11582,142.6809539794922,232.16929626464844,218.83663940429688,297.397705078125
Comb2,XGBoost,7,74.07265285239191,11582,103.8267593383789,161.61573791503906,165.18380737304688,274.8801574707031
Comb2,XGBoost,8,74.07265285239191,11582,158.6151580810547,283.9404296875,275.7247314453125,424.7254943847656
Comb2,XGBoost,9,74.07265285239191,11582,154.8837890625,228.83248901367188,240.08323669433594,381.8605041503906
Comb2,XGBoost,10,74.07265285239191,11582,148.7125244140625,202.28939819335938,216.2840118408203,335.5473327636719
Comb2,XGBoost,11,74.07265285239191,11582,12.240429878234863,13.284941673278809,15.164182662963867,29.86420249938965
Comb2,XGBoost,12,74.07265285239191,11582,11.237110137939453,13.177950859069824,13.344362258911133,29.41627311706543
Comb2_land,CatBoost,1,64.05730365822461,10016,7.2095794677734375,31.55865478515625,30.498994827270508,52.95170211791992
Comb2_land,CatBoost,2,64.07649015093374,10019,25.788408279418945,56.672515869140625,55.773597717285156,90.00511932373047
Comb2_land,CatBoost,3,64.07649015093374,10019,19.381662368774414,54.553924560546875,61.395362854003906,201.76235961914062
Comb2_land,CatBoost,4,64.07649015093374,10019,22.672279357910156,61.03618621826172,71.35917663574219,208.9585418701172
Comb2_land,CatBoost,5,64.07649015093374,10019,100.08672332763672,230.9250946044922,230.0567626953125,374.0318603515625
Comb2_land,CatBoost,6,20.874904067536455,3264,120.40540313720703,227.0618133544922,228.25787353515625,364.86834716796875
Comb2_land,CatBoost,7,50.15349194167306,7842,94.08140563964844,207.24981689453125,206.47459411621094,339.80047607421875
Comb2_land,CatBoost,8,51.6948068559734,8083,153.5558319091797,281.83709716796875,283.908203125,437.8599548339844
Comb2_land,CatBoost,9,63.513686364799185,9931,124.85797882080078,265.4683837890625,262.36224365234375,395.7719421386719
Comb2_land,CatBoost,10,64.01893067280635,10010,144.2093963623047,265.186279296875,272.01898193359375,380.7530822753906
Comb2_land,CatBoost,11,64.06369915579432,10017,8.815638542175293,44.14602279663086,39.92580795288086,77.47718048095703
Comb2_land,CatBoost,12,64.07649015093374,10019,2.0344722270965576,32.01625442504883,29.958316802978516,48.69658279418945
