iter	RMSE
0	158.9250295
1	153.4104656
2	148.7845771
3	144.3341821
4	140.2733453
5	136.7131758
6	133.1560741
7	129.969598
8	127.0917974
9	124.6408374
10	122.7192702
11	120.7741669
12	118.9246794
13	116.7963738
14	115.0358593
15	113.8961384
16	112.6882146
17	111.5008544
18	110.5823641
19	109.5478936
20	108.4162105
21	107.7592332
22	107.0468311
23	106.4648499
24	105.9487504
25	105.1156142
26	104.4729446
27	103.861633
28	103.4324867
29	102.7695517
30	102.0999242
31	101.6092711
32	101.1489407
33	100.8869178
34	100.5134616
35	99.87764559
36	99.44280454
37	99.01049523
38	98.64929003
39	98.3533312
40	97.59087179
41	97.1710418
42	96.9344956
43	96.71754421
44	96.43449737
45	95.82827486
46	95.45571148
47	95.14452938
48	94.65310186
49	94.30478123
50	93.96830726
51	93.60093348
52	93.33347008
53	93.00187976
54	92.54830354
55	92.06704982
56	91.68753606
57	91.28885469
58	91.03475073
59	90.82189768
60	90.54095006
61	90.45746079
62	90.20642914
63	90.00038573
64	89.87017776
65	89.56105413
66	89.36531369
67	89.0329184
68	88.7265988
69	88.42398493
70	87.92296878
71	87.57664296
72	87.42969891
73	86.8359027
74	86.61798501
75	86.43194339
76	86.26551159
77	86.02892961
78	85.86203733
79	85.54461265
80	85.28275067
81	84.98342434
82	84.68981427
83	84.47295592
84	84.23162205
85	84.05557174
86	83.77561036
87	83.47476097
88	83.13097084
89	82.96485116
90	82.51651509
91	82.18874422
92	81.98711603
93	81.69533208
94	81.39381528
95	81.14199488
96	80.95614114
97	80.5920838
98	80.34249088
99	80.00435286
100	79.75631754
101	79.17211367
102	78.94322615
103	78.6552722
104	78.62519202
105	78.49303193
106	78.32670305
107	78.09775158
108	77.74965093
109	77.43536052
110	77.21300443
111	76.97743321
112	76.76180861
113	76.47065605
114	76.2984266
115	76.17918691
116	75.9450204
117	75.73986664
118	75.52249242
119	75.24884249
120	75.04962207
121	74.88845181
122	74.77358641
123	74.62784924
124	74.46681269
125	74.34291356
126	74.15256705
127	73.88019875
128	73.69543828
129	73.51302563
130	73.25866553
131	73.10478071
132	72.95287882
133	72.71029223
134	72.39758336
135	72.25704019
136	72.07128732
137	71.81483388
138	71.57181477
139	71.2183527
140	71.15291841
141	71.09033047
142	70.95388488
143	70.89371039
144	70.70120324
145	70.50218738
146	70.1972171
147	69.99650386
148	69.93850729
149	69.65228579
150	69.26601394
151	69.08353631
152	69.02729925
153	68.96554298
154	68.91156782
155	68.76174153
156	68.52561808
157	68.38888153
158	68.29735489
159	68.23973054
160	68.18965522
161	67.90126875
162	67.7377283
163	67.46657342
164	67.40743985
165	67.24691062
166	67.12008374
167	66.97522535
168	66.85743792
169	66.80964887
170	66.75457748
171	66.63997299
172	66.44609308
173	66.30061531
174	66.16236601
175	65.90059203
176	65.7183026
177	65.67256928
178	65.6302732
179	65.5311064
180	65.42821038
181	65.36906794
182	65.06965958
183	64.98381584
184	64.82685648
185	64.64135978
186	64.50214011
187	64.38344816
188	64.20273613
189	64.11613527
190	63.97855243
191	63.91656847
192	63.54865251
193	63.47024149
194	63.36081525
195	63.20789552
196	62.94472186
197	62.8211794
198	62.74396349
199	62.63313495
200	62.58372324
201	62.53792201
202	62.40767438
203	62.2365576
204	62.14006362
205	61.86415926
206	61.64360216
207	61.60699568
208	61.53189262
209	61.31028081
210	61.26023907
211	61.21344828
212	61.01344803
213	60.92380428
214	60.8583691
215	60.6386783
216	60.60941444
217	60.57353326
218	60.35740991
219	60.26722918
220	60.18943609
221	60.06700753
222	60.0300838
223	59.80708349
224	59.73753407
225	59.70227087
226	59.65836797
227	59.62387044
228	59.55196992
229	59.48487829
230	59.39836578
231	59.15661744
232	59.12251436
233	58.9475761
234	58.88974607
235	58.74568744
236	58.71333595
237	58.58536793
238	58.51877865
239	58.32453342
240	58.19936063
241	57.97452978
242	57.84751192
243	57.68804789
244	57.60885989
245	57.49060732
246	57.42772878
247	57.36822932
248	57.30790335
249	57.23316281
250	56.94280686
251	56.83314274
252	56.75133712
253	56.64575727
254	56.57235919
255	56.45366386
256	56.3109103
257	56.1367767
258	56.02076251
259	55.96256427
260	55.89620018
261	55.75078429
262	55.60992452
263	55.46915091
264	55.38024229
265	55.16462506
266	55.07504523
267	55.00428144
268	54.841843
269	54.70611523
270	54.64823245
271	54.55356878
272	54.35449917
273	54.16903873
274	54.10059449
275	53.92334927
276	53.77214877
277	53.73426676
278	53.61366541
279	53.46088132
280	53.31831025
281	53.23350308
282	53.08069349
283	52.93955704
284	52.78499318
285	52.68804509
286	52.5914979
287	52.5137352
288	52.31016514
289	52.26276237
290	52.19169599
291	52.14481632
292	52.01937511
293	51.8683434
294	51.81957581
295	51.68192381
296	51.47136332
297	51.43505129
298	51.36861922
299	51.18098575
