station,latitude,longitude,MAE,RMSE,PCC,R2
CL503,22.6012,89.5195,73.92274832535442,118.33616029633389,0.7773502844675333,0.4575384426349469
CL504,22.8093,89.4145,59.23485332170006,81.06846929812295,0.6927991612262197,0.46372392518916483
CL509,22.6887,89.3088,45.78686272290089,84.95346715006688,0.7986211785571921,0.5288580182387999
CL510,22.8319,89.55,59.3599488216885,85.68446461286612,0.8017981194145898,0.44241938327227237
CL515,22.585,89.3182,53.34055746793262,84.64651155471343,0.7160725719650152,0.4537853335778116
CL517,22.79,89.59,44.74265983142111,60.32555879449948,0.7859012430277418,0.5914592023627139
