station,latitude,longitude,MAE,RMSE,PCC,R2
CL503,22.6012,89.5195,72.45684088047796,113.02574698047486,0.769100118707876,0.5051326610688862
CL504,22.8093,89.4145,51.48023957123109,75.07495797446902,0.7504672500480766,0.540088073774483
CL509,22.6887,89.3088,44.81002808995181,84.12989759777477,0.807943543758645,0.5379485806323143
CL510,22.8319,89.55,61.34519168521906,90.52881333620239,0.776086520182217,0.3775891593529579
CL515,22.585,89.3182,51.068752702950945,91.57761959134899,0.6588510399331129,0.36067170007037996
CL517,22.79,89.59,39.46227086780048,52.38390544060914,0.8365188826752008,0.6919448503668395
