station,latitude,longitude,MAE,RMSE,PCC,R2
CL503,22.6012,89.5195,65.7825005146248,106.82556720699908,0.8037860292083707,0.5579367273591622
CL504,22.8093,89.4145,60.666783284293984,87.3811838191014,0.6417188005099387,0.3769536955455508
CL509,22.6887,89.3088,54.81844852734063,105.75571477965322,0.6432211028435011,0.269874901441027
CL510,22.8319,89.55,72.67210544743695,102.75233188417909,0.7165278956392893,0.19816157134850254
CL515,22.585,89.3182,70.9356969092508,114.42380370856438,0.4708998152033459,0.001890960100147332
CL517,22.79,89.59,56.68775451446382,74.80787979523623,0.6970373588957004,0.37175734783515746
