Input,Model,Validation_MAE,Validation_RMSE,Validation_PCC,Validation_R2,MAE,RMSE,PCC,R2,N_train,N_valid,N_train_valid,N_test,BestParams
Comb1,Random Forest,76.64772463768111,105.75639806285315,0.8130489618279045,0.3544530996151556,63.244492753623184,92.74504778414367,0.7316653008479397,0.46845979468755905,276,69,345,69,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
Comb1,XGBoost,69.76990418710568,94.78588329785626,0.8361379763552645,0.4814366471952637,67.51739262221517,95.48585543937855,0.7062590951550313,0.4365793664828753,276,69,345,69,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb1,LightGBM,81.03309135267841,112.371491599923,0.8293210089987957,0.2711690784876183,66.47925674620481,95.20339344996297,0.6933648002602342,0.43990780763482995,276,69,345,69,"{""learning_rate"": 0.08, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb1,CatBoost,68.41857560151146,91.37101628943523,0.8326645969038631,0.5181283131126535,64.78759689280966,98.07699801955046,0.6893767697895449,0.4055860544915283,276,69,345,69,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.08}"
Comb1_land,Random Forest,66.7179648913696,92.34027434948968,0.846836312422725,0.30684071874535057,55.94616131801122,86.97205054134191,0.74392097323038,0.4955635669474576,262,63,325,64,"{""max_depth"": 15, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
Comb1_land,XGBoost,59.11027989236135,85.96769286659293,0.8582900496258669,0.3992119787713051,58.628255324438214,89.89497388277768,0.7160516965168879,0.46108800754905144,262,63,325,64,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb1_land,LightGBM,68.77877233269729,103.92557339823264,0.8888590287448711,0.12199784800966862,63.6968005020243,99.34690296058,0.644029221445865,0.34180331162829525,262,63,325,64,"{""learning_rate"": 0.08, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb1_land,CatBoost,58.650563824440965,82.70980820110591,0.8648546670995808,0.44388482110099636,53.274838950054914,85.97886131947632,0.7557771830493767,0.5070187459755553,262,63,325,64,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
Comb2,Random Forest,75.78245906401983,109.11535232101322,0.7976425136142082,0.3496942159578318,67.78779152954816,96.01773534970515,0.7502456896146893,0.4736885145695823,288,72,360,72,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb2,XGBoost,72.18478061887953,109.82109498631009,0.8009390438999916,0.3412548399285896,64.31960280471377,100.80164806055264,0.7059586708836408,0.4199369581646166,288,72,360,72,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb2,LightGBM,84.95904903676453,127.74341613810014,0.7863953660564922,0.10870196279306676,56.8592147749869,81.25984987042494,0.8245088231100145,0.6230428705838702,288,72,360,72,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb2,CatBoost,80.79992730891688,118.18294414928144,0.789208569035295,0.2371212674006884,60.622573308699835,92.43384781428841,0.7699131020621715,0.5122447029376123,288,72,360,72,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
Comb2_land,Random Forest,60.90131757756491,87.0482873637014,0.8391735232290263,0.4175690237063262,57.475113375430546,89.17663747904362,0.7689698020036645,0.5240539381658968,273,65,338,67,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb2_land,XGBoost,70.21038442000746,100.7486019328488,0.8710892793685705,0.2198069825449771,63.68827957835661,96.57285505005463,0.7314842284316511,0.4418310237680193,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb2_land,LightGBM,64.48700620879555,94.0874845717257,0.8529508112816191,0.3195633177468452,61.47303131245582,91.17512662073078,0.7589361942827114,0.5024825675759387,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb2_land,CatBoost,61.853245775146924,91.0009076693165,0.8487513909187041,0.3634750214724364,54.74713589677305,87.91419713173082,0.7707392803606673,0.5374341350224662,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
Comb3,Random Forest,67.1863640237593,85.1212593744584,0.7895196958479138,0.604249038174048,63.9148001693457,98.4097221252891,0.7069782040627457,0.4471390173203178,288,72,360,72,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb3,XGBoost,69.48571520911324,91.34368936987657,0.7602766949052081,0.5442748508407516,66.0336766242981,98.7397620225188,0.7094742022393565,0.44342450315741333,288,72,360,72,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb3,LightGBM,62.59994608652583,80.04233215543005,0.8150893936885792,0.6500666243970801,68.71320696320802,100.78004277872412,0.6977783421408527,0.42018558668750294,288,72,360,72,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb3,CatBoost,61.767048098297536,79.24378771158696,0.819012651063865,0.6570140343049378,67.20407867535927,97.83572403451218,0.7087198691048016,0.4535695946628461,288,72,360,72,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
Comb3_land,Random Forest,44.54413755079678,60.12690707737888,0.8738875494105707,0.7221171583328774,57.425713684933115,88.93716893074016,0.7402667155642341,0.5266066489825622,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb3_land,XGBoost,45.16792678392851,62.34939185531567,0.8776615506612848,0.7011945968911482,57.764356991782115,92.492073120685,0.7183355014330749,0.4880063437525167,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb3_land,LightGBM,46.40178707047729,65.69324451373981,0.8711709549131146,0.6682847590057861,63.43702532925022,95.27896465847817,0.7025580142810665,0.45668760777097506,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb3_land,CatBoost,41.632498558486716,59.03405848114845,0.8775708412524464,0.7321267881190416,59.29820627088183,90.21757472638144,0.7328491531150578,0.5128778832134875,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
CCS_land,Random Forest,44.78319079187907,62.66238860588392,0.8504261203436182,0.6981870336226159,57.87994919427345,93.06665123733646,0.7088908637223011,0.4816253839023975,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
CCS_land,XGBoost,53.8006592310392,72.89912019243395,0.8106562608207821,0.591522088925344,61.71299648053611,95.48552599083582,0.6996138939164449,0.45432929112855724,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
CCS_land,LightGBM,49.435673693388345,69.74772579461946,0.8482539861251446,0.6260753415115572,63.21479216783326,97.55998105838059,0.6845764192508851,0.4303619816881764,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
CCS_land,CatBoost,41.83866319979452,61.45002291681934,0.8710520945711142,0.7097527584084276,62.290486310674225,94.67805274991065,0.7024550763130476,0.4635191963676747,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
PDIR_land,Random Forest,43.93338319162319,59.45192407740277,0.8726114883810978,0.7283211490823175,56.32178161442206,88.93673835169014,0.7403464099046096,0.5266112327301313,273,65,338,67,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
PDIR_land,XGBoost,46.442404799094575,67.23814670095115,0.8565767335962606,0.6524994698888542,60.16521291234601,95.86099970594212,0.6935201378688297,0.450029417686967,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
PDIR_land,LightGBM,45.61310749862108,65.94716461080999,0.8766125263148746,0.6657154857189911,63.60093772299052,95.60305950926872,0.7000155272371829,0.45298512782378053,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
PDIR_land,CatBoost,39.62454293512446,55.50842623634577,0.890413325996457,0.7631672097666257,58.984797584950535,91.16515590105739,0.7298587997800559,0.5025913765415945,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
GSMaP_MVK_land,Random Forest,43.77642107054374,62.28172894250869,0.8353026792926975,0.6846650982181759,54.50226787848793,98.24114671553262,0.6378285005457557,0.35637356493932604,262,63,325,64,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
GSMaP_MVK_land,XGBoost,56.29115259717145,81.30992172955223,0.7548169136225014,0.46255032121425144,61.53185385912657,105.94092500927756,0.5797004070237491,0.2515297407896978,262,63,325,64,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
GSMaP_MVK_land,LightGBM,48.696453061585856,64.94282816985265,0.8525280829211812,0.6571429240904547,63.43716301360995,104.51615943068495,0.5933631912029002,0.27152624094587263,262,63,325,64,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
GSMaP_MVK_land,CatBoost,41.52358274923778,58.29266121782982,0.860716210537813,0.7237651385451203,56.69211040481379,98.65917326896486,0.6459853425027933,0.3508845132774925,262,63,325,64,"{""depth"": 5, ""iterations"": 300, ""learning_rate"": 0.03}"
CDR_land,Random Forest,49.86522756882719,71.31428603149487,0.85891900832324,0.6090897304621734,58.508054219343414,95.9500793896192,0.6926018287166363,0.44900681269827536,273,65,338,67,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
CDR_land,XGBoost,58.68097620303814,88.21843603071159,0.8435994842765052,0.4018050931686947,69.24667364874882,110.58335718084103,0.5910558975022489,0.2681280657052557,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
CDR_land,LightGBM,60.831632003951654,89.10395582341341,0.8378544597956058,0.38973568829353245,66.50210651433098,106.97642720858984,0.621557122052344,0.31509280141105855,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
CDR_land,CatBoost,53.83685002220756,79.7964575387325,0.8604575328026719,0.5105692786531946,60.3507301276436,98.36857074826796,0.6758452823490833,0.4208803849549497,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
CHIRPS_land,Random Forest,49.112779467316315,75.23612377391565,0.8436289526378178,0.5649122786743268,56.380986560592554,88.94761052205571,0.751165354115369,0.5264954857844213,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
CHIRPS_land,XGBoost,57.68111774958097,82.18670217265354,0.8702010637957667,0.48080905293645115,61.11756600764261,94.15135012629493,0.7311242725552707,0.4694715764356643,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
CHIRPS_land,LightGBM,64.6986882421565,93.48326575587588,0.8339829547864969,0.3282746256408725,61.477166639089894,94.87402215229689,0.7256488984350911,0.46129602795507274,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
CHIRPS_land,CatBoost,53.94895752632744,79.32691733614959,0.8629315063856084,0.5163121722113746,54.30777432484955,85.65881997148225,0.7823946880121662,0.5608633071468221,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
IMERG_land,Random Forest,65.08931096977098,103.10830571951486,0.7818844964309529,0.18283208969221776,55.41146016217061,85.6870190226477,0.7586566690131002,0.5605741302385333,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
IMERG_land,XGBoost,92.62342626645014,146.87479712752327,0.7705444785783261,-0.6581299436468784,64.15642672403537,97.30073458027752,0.6859447281994336,0.433385361512614,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
IMERG_land,LightGBM,70.75764091574283,107.6577250050463,0.804938757597971,0.10912986728975349,60.72943069447046,94.0273253871948,0.7091162821609729,0.4708683766141166,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
IMERG_land,CatBoost,68.01634506466506,108.76108030898527,0.8037256529531632,0.09077571271080664,57.2383635944004,87.62574210376351,0.7517403460573969,0.540464602372834,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
GSMaP_Gauge_land,Random Forest,46.442359894919896,67.08843798742777,0.8393982385223953,0.6540451978171029,52.13870956968682,85.76109072794168,0.7915406543391115,0.5598140829801883,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
GSMaP_Gauge_land,XGBoost,52.94663019886384,76.03442097484734,0.8029416684083654,0.5556302484114861,53.995826543250416,87.78506284033705,0.7803330289621866,0.538792032771265,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
GSMaP_Gauge_land,LightGBM,62.756233771433315,90.9294522500167,0.814295204379527,0.3644742489160986,57.21016717686077,88.34411158807475,0.7830105333636348,0.5328990315553512,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
GSMaP_Gauge_land,CatBoost,44.27603699336208,63.44223864666658,0.8660690847419715,0.6906280026534662,56.38069916242656,90.05792062779672,0.7858549572395385,0.5146004351372045,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
ERA5_land,Random Forest,54.55860564906604,75.21135441965632,0.7946211786333872,0.5651987120358173,51.8307446378939,84.9196748618489,0.7701420210211366,0.5684091809542076,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
ERA5_land,XGBoost,62.713580309702806,95.65762048718375,0.756678344718313,0.29666351025167803,59.463694768165475,98.11136263477606,0.687160557656953,0.42390491858998947,273,65,338,67,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}"
ERA5_land,LightGBM,55.231139624152725,77.24881276045829,0.8168638811631518,0.5413222963134313,57.11320923193356,97.00653599237299,0.7014393323327485,0.43680661448270863,273,65,338,67,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 15}"
ERA5_land,CatBoost,56.68834846434761,78.66750279864974,0.8242802927828468,0.5243201759898481,55.72770956644524,87.75755905341255,0.7562289319851416,0.5390809880467025,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
